CoinName,CurrencyCodeFull,CurrencyCode,Network,ImageUrl
"","","1inch","","https://secure-endlessly-puma.ngrok-free.app/img/nowpaymentsio/1inch.svg"
"","","aave","","https://secure-endlessly-puma.ngrok-free.app/img/nowpaymentsio/aave.svg"
"","","ada","","https://secure-endlessly-puma.ngrok-free.app/img/nowpaymentsio/ada.svg"
"","","aitech","","https://secure-endlessly-puma.ngrok-free.app/img/nowpaymentsio/aitech.svg"
"","","algo","","https://secure-endlessly-puma.ngrok-free.app/img/nowpaymentsio/algo.svg"
"","","ape","","https://secure-endlessly-puma.ngrok-free.app/img/nowpaymentsio/ape.svg"
"","","apt","","https://secure-endlessly-puma.ngrok-free.app/img/nowpaymentsio/apt.svg"
"","","arb","","https://secure-endlessly-puma.ngrok-free.app/img/nowpaymentsio/arb.svg"
"","","arpa","","https://secure-endlessly-puma.ngrok-free.app/img/nowpaymentsio/arpa.svg"
"","","arv","","https://secure-endlessly-puma.ngrok-free.app/img/nowpaymentsio/arv.svg"
"","","atlas","","https://secure-endlessly-puma.ngrok-free.app/img/nowpaymentsio/atlas.svg"
"","","atom","","https://secure-endlessly-puma.ngrok-free.app/img/nowpaymentsio/atom.svg"
"","","avax","","https://secure-endlessly-puma.ngrok-free.app/img/nowpaymentsio/avax.svg"
"","","avaxc","","https://secure-endlessly-puma.ngrok-free.app/img/nowpaymentsio/avaxc.svg"
"","","avn","","https://secure-endlessly-puma.ngrok-free.app/img/nowpaymentsio/avn.svg"
"","","axs","","https://secure-endlessly-puma.ngrok-free.app/img/nowpaymentsio/axs.svg"
"","","babydoge","","https://secure-endlessly-puma.ngrok-free.app/img/nowpaymentsio/babydoge.svg"
"","","banana","","https://secure-endlessly-puma.ngrok-free.app/img/nowpaymentsio/banana.svg"
"","","bat","","https://secure-endlessly-puma.ngrok-free.app/img/nowpaymentsio/bat.svg"
"","","bch","","https://secure-endlessly-puma.ngrok-free.app/img/nowpaymentsio/bch.svg"
"","","bel","","https://secure-endlessly-puma.ngrok-free.app/img/nowpaymentsio/bel.svg"
"","","bera","","https://secure-endlessly-puma.ngrok-free.app/img/nowpaymentsio/bera.svg"
"","","blocks","","https://secure-endlessly-puma.ngrok-free.app/img/nowpaymentsio/blocks.svg"
"","","bnbbsc","","https://secure-endlessly-puma.ngrok-free.app/img/nowpaymentsio/bnbbsc.svg"
"","","bone","","https://secure-endlessly-puma.ngrok-free.app/img/nowpaymentsio/bone.svg"
"","","brise","","https://secure-endlessly-puma.ngrok-free.app/img/nowpaymentsio/brise.svg"
"","","btc","","https://secure-endlessly-puma.ngrok-free.app/img/nowpaymentsio/btc.svg"
"","","bttc","","https://secure-endlessly-puma.ngrok-free.app/img/nowpaymentsio/bttc.svg"
